Driver,PoleProb,Q3Prob,AvgGridPos
BOT,24.5,98.3,3.877
STR,10.2,93.7,5.757
ALB,9.4,93.30000000000001,5.595
OCO,8.9,92.10000000000001,5.899
ZHO,8.1,91.7,5.952
TSU,8.0,91.60000000000001,6.118
PIA,8.0,88.4,6.407
HUL,7.7,86.8,6.538
HAM,7.000000000000001,92.7,5.92
GAS,6.3,89.2,6.513
SAR,1.9,82.19999999999999,7.424
